p0lmx,p0lmy,p0lmz,thum10x,thum10y,thum10z,thum11x,thum11y,thum11z,thum12x,thum12y,thum12z,thum13x,thum13y,thumn3z,index0x,index0y,index0z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle0x,middle0y,middle0z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring0x,ring0y,ring0z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky0x,pinky0y,pinky0z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,sign
-0.873584747,-0.304053038,-0.380001903,0,0,0,0.889002507,-0.241501865,0.389039063,0.734535102,-0.073841636,0.674541027,0.546086499,0.176432136,0.818939092,0.836249723,-0.391005205,0.384449386,0.789329218,-0.425697131,0.442426648,0.806638457,-0.387425818,0.446358191,0.823143764,-0.34690757,0.449543636,0.797830557,-0.382523868,0.465984863,0.771883063,-0.389043898,0.502833355,0.800862788,-0.339367742,0.493404834,0.800862661,-0.33936837,0.493404608,0.75254521,-0.359560494,0.551717281,0.928354416,0.11240285,0.354293209,0.696610928,0.712683247,0.082557879,0.464473735,0.885492223,-0.012948851,0.69770962,-0.344217305,0.628264063,0.945884337,0.03844996,0.322217973,0.751889249,0.657903022,0.042733719,0.519319532,0.854233287,-0.02434573,o
-0.217378989,-0.93497771,0.280290961,0,0,0,0.318515474,0.907550074,0.273680026,0.120645439,0.963107634,0.240558442,-0.081306784,0.984467072,0.155607811,0.46544489,0.809503456,0.357861998,0.433360646,0.829187662,0.35305293,0.422026301,0.853979853,0.304322547,0.409981249,0.875203755,0.256775706,0.384840713,0.837353199,0.388248949,0.313749327,0.930540425,-0.188827637,0.057949064,0.657310852,-0.751388281,-0.12152449,0.413287234,-0.90245524,0.291276159,0.865122233,0.408315713,0.314083528,0.922383775,-0.22485486,0.143057552,0.582926172,-0.799832242,-0.022029648,0.330025953,-0.943714769,0.200233329,0.878675023,0.433401452,0.363663942,0.911766251,-0.19086865,0.297007023,0.547468271,-0.782346036,0.117174963,0.298960455,-0.947044178,p
0.216117322,-0.861275136,0.459889561,0,0,0,-0.036241351,0.997956738,0.052620471,-0.132834062,0.989564664,0.055829097,-0.258842282,0.964799139,0.046511226,0.050800176,0.983931832,0.171165103,-0.044440923,0.99273421,-0.111820361,-0.140225308,0.939713783,-0.311889193,-0.202036769,0.875056268,-0.439838235,-0.034293517,0.97885717,0.201649684,-0.145650833,0.877431207,-0.457056137,-0.22889848,0.327257718,-0.916792164,-0.274415357,0.019499191,-0.961413539,-0.130780265,0.966018141,0.222947242,-0.121308059,0.862338488,-0.49158589,-0.126553666,0.274200336,-0.953309155,-0.195309816,-0.06865135,-0.978335867,-0.218775526,0.942789386,0.251565981,-0.050154787,0.880767633,-0.470885202,0.046928659,0.320770302,-0.945993718,-0.049996385,-0.011946202,-0.998677951,q
0.200137198,-0.208947763,-0.957228243,0,0,0,-0.064473819,-0.331794071,0.941146015,-0.357157512,-0.279059526,0.891383359,-0.61123284,-0.118023987,0.782601274,0.058615959,-0.434591656,0.898718121,-0.071834242,-0.454946071,0.887616986,-0.084966787,-0.410755865,0.907777651,-0.084966916,-0.410756397,0.907777398,-0.026971764,-0.461544638,0.886706869,-0.119925428,-0.393805054,0.911337189,-0.136548571,0.170700814,0.975815413,-0.136548606,0.170700165,0.975815521,-0.123895517,-0.477405916,0.869904301,-0.0888112,0.088901043,0.99207317,-0.159508948,0.720215583,0.675163987,-0.218535552,0.885199686,0.410686898,-0.212548003,-0.497560703,0.840985549,-0.034303194,0.049418896,0.998188892,-0.063279266,0.70320712,0.708163456,-0.153056875,0.881823312,0.446050714,r
0.122352093,-0.144658789,-0.981887877,0,0,0,0.153595677,-0.35327137,0.922825935,-0.134190972,-0.364426603,0.921512905,-0.422490075,-0.26958766,0.865346538,0.162626542,-0.47909524,0.862566148,-0.114656996,0.150376873,0.981957519,-0.423825952,0.666893394,0.61288234,-0.504757579,0.795807636,0.334529511,0.077794383,-0.510135766,0.856568465,-0.053181621,0.187320809,0.980858109,-0.285291903,0.748963415,0.598048772,-0.403781796,0.860978179,0.309316725,-0.019317602,-0.530496422,0.847467035,-0.020462514,0.166944951,0.985753858,-0.177489235,0.775101483,0.606395303,-0.297192033,0.898675979,0.322580813,-0.109089863,-0.554008015,0.825332976,0.052103144,0.129955809,0.990149862,-0.05586601,0.757973604,0.649888455,-0.220841832,0.903456989,0.367415777,s
-0.128062218,-0.108352073,-0.985829532,0,0,0,0.371130986,-0.428372249,0.823868319,0.187099841,-0.437879931,0.879349086,-0.008286967,-0.397885076,0.917397838,0.347718187,-0.519448108,0.780554755,0.23478894,-0.359088102,0.903288375,0.18584149,-0.146411457,0.971610326,0.185841319,-0.146411213,0.971610396,0.26272779,-0.547266949,0.794652751,0.196646171,0.148678969,0.969136135,-0.10433047,0.740980916,0.663372019,-0.307942496,0.867954677,0.389648686,0.165549034,-0.563869216,0.809101368,0.228506744,0.128104842,0.965077104,0.000369915,0.767981949,0.640471381,-0.208654227,0.904034685,0.373074661,0.072153126,-0.583336445,0.80901948,0.303074757,0.075004832,0.950010509,0.084253703,0.739510389,0.667851554,-0.181000655,0.885933107,0.427037812,t
0.328158051,-0.156130806,-0.931630552,0,0,0,-0.189375238,-0.417374058,0.888783391,-0.394723535,-0.380803523,0.83617104,-0.685360182,-0.193683849,0.70197435,-0.013680908,-0.463187903,0.886154501,-0.315928407,-0.030774389,0.948283807,-0.315928446,-0.030773604,0.948283819,-0.36074557,0.299992055,0.883101014,-0.094812982,-0.496074363,0.863087901,-0.20870921,-0.17582399,0.962042821,-0.288080707,0.353915401,0.889805257,-0.336539984,0.861655042,0.379857116,-0.187484014,-0.518584858,0.834217891,-0.215036955,0.06373241,0.974524134,-0.304703641,0.73363788,0.60739703,-0.340369604,0.859480848,0.381367545,-0.27019041,-0.544279003,0.794202436,-0.145713943,0.024132664,0.989032386,-0.238024113,0.685148936,0.688415178,-0.324287975,0.845552728,0.424120139,u
0.290430337,-0.157660872,-0.94381845,0,0,0,-0.159802484,-0.383938962,0.909425115,-0.452103276,-0.325651242,0.83039382,-0.73305845,-0.104383032,0.672108244,0.012686888,-0.466145714,0.884616988,-0.300140157,0.146894178,0.942516836,-0.300140177,0.146894627,0.94251676,-0.300140196,0.146894011,0.94251685,-0.069745612,-0.497724944,0.86452613,-0.206260278,0.063610245,0.976427383,-0.303771822,0.730847642,0.611215513,-0.336128364,0.883976423,0.324966779,-0.163768796,-0.518734907,0.83910302,-0.182977369,0.113775394,0.976511363,-0.273790749,0.750738195,0.601191142,-0.325788194,0.881669801,0.341350867,-0.248303654,-0.543037329,0.802156939,-0.111666432,0.07378985,0.991002354,-0.207386624,0.722469136,0.659567385,-0.304910036,0.865509421,0.397395663,v
0.922423005,0.325435847,-0.20791176,0,0,0,-0.545790567,-0.626594015,0.556320588,-0.558066397,-0.66448509,0.497012537,-0.580457299,-0.714015071,0.391473883,-0.454308029,-0.654775868,0.604046999,-0.738707391,-0.543620791,0.398481902,-0.962335545,-0.241597109,0.124664088,-0.997979598,-0.02715257,-0.057440927,-0.448297116,-0.714889616,0.536621406,-0.7435778,-0.532893561,0.403876846,-0.973245263,-0.150026301,0.174028065,-0.973245252,-0.150026352,0.174028081,-0.447260476,-0.770600871,0.454018022,-0.765323879,-0.515469855,0.385448038,-0.992160023,0.092986304,0.083498718,-0.886984978,0.421877425,-0.187821955,-0.432352805,-0.820458545,0.374057253,-0.77204464,-0.444694248,0.454086004,-0.98784784,0.104265395,0.115262188,-0.939473075,0.316898096,-0.130253363,w
-0.149948001,-0.150503531,-0.9771716,0,0,0,0.233629545,-0.424399084,0.874815782,0.021562176,-0.373076705,0.927549915,-0.176148996,-0.262941622,0.948595401,0.283053293,-0.512183714,0.810893752,0.162323244,-0.449985169,0.87815973,0.159548279,-0.28400162,0.9454562,0.154554403,-0.145268254,0.977246167,0.195264254,-0.527609036,0.826740937,0.2292868,0.142968045,0.962802005,0.012510645,0.770473906,0.637348762,-0.165238151,0.917025477,0.362988468,0.096876231,-0.53030501,0.842253876,0.251924411,0.120339075,0.960235699,0.120062195,0.778358019,0.616233612,-0.047016755,0.932738867,0.357473958,0.001731552,-0.537223087,0.843438413,0.314653865,0.043591382,0.948205008,0.196851849,0.736697945,0.646935458,-0.014897869,0.909764639,0.414857029,x
0.042644382,-0.19449991,-0.979975104,0,0,0,0.407166947,-0.382886181,0.829224487,0.354854317,-0.400977169,0.844568365,0.452684252,-0.362953135,0.814458096,0.114716607,-0.474980104,0.87248725,-0.03696151,0.202849223,0.978512156,-0.252507025,0.765164554,0.592252823,-0.320465087,0.902994305,0.286187724,0.025394539,-0.489698974,0.871521676,0.027110985,0.213626591,0.976539131,-0.034590679,0.83126298,0.554802076,-0.133309229,0.964403713,0.228372783,-0.074147368,-0.491719473,0.867590991,0.052107319,0.185005747,0.981355033,0.083280592,0.801320005,0.592410831,0.001550694,0.957422627,0.28868583,-0.16774428,-0.498603638,0.850444748,-0.173749342,-0.337110893,0.925293149,-0.091472257,-0.222059141,0.970733003,-0.047280883,-0.152560623,0.987162486,y
-0.99466747,-0.102930382,-0.00647685,0,0,0,0.876771134,-0.385569443,0.287417089,0.8840401,-0.229597638,0.407133918,0.871303736,-0.034075059,0.48955969,0.809790071,-0.484545512,0.33084088,0.824893871,-0.40342176,0.395981042,0.849744633,-0.37133696,0.37422309,0.871374098,-0.340649165,0.353079776,0.804102942,-0.4343136,0.405943537,0.999449559,-0.032148231,0.008189594,0.783917082,0.513396189,-0.349139459,0.517136557,0.737389256,-0.434542135,0.796725652,-0.367660661,0.479639316,0.999573849,-0.009707006,-0.027529874,0.729189226,0.505922884,-0.460787487,0.450836258,0.718024547,-0.530271081,0.775829609,-0.3076883,0.550832396,0.995084879,-0.090301274,-0.040641887,0.753510377,0.439387168,-0.489040928,0.485957509,0.699111024,-0.524489348,z
0.872078419,0.323923349,-0.366814554,0,0,0,-0.515648361,-0.752917118,0.408928576,-0.519558136,-0.655942219,0.547539175,-0.532773589,-0.498576191,0.68379389,-0.372681921,-0.796232174,0.476573721,-0.557612672,-0.671372655,0.488187327,-0.782405604,-0.457041353,0.423030344,-0.886337147,-0.29388673,0.357822655,-0.356397576,-0.752331298,0.554056302,-0.837281074,-0.43308666,0.333760915,-0.980818331,0.190585181,0.040898535,-0.853092228,0.516081554,-0.076769009,-0.345255286,-0.692763582,0.633148804,-0.853234998,-0.420198913,0.308905992,-0.978333657,0.193304877,-0.074138251,-0.841118163,0.508978417,-0.182924048,-0.321289394,-0.6334514,0.703926452,-0.822136861,-0.494921794,0.281324368,-0.988470426,0.113388263,-0.100345995,-0.87124826,0.461523492,-0.167100375,a
0.91871506,0.393407404,-0.034543462,0,0,0,-0.545085127,-0.836688229,0.053244826,-0.579163014,-0.79719054,0.170462446,-0.6227708,-0.722447032,0.300377789,-0.439489077,-0.887735764,0.137020307,-0.562007519,-0.813747503,0.148197672,-0.603170024,-0.785231178,0.139992568,-0.659902715,-0.740462668,0.127449771,-0.44517537,-0.866740329,0.224900182,-0.87923393,-0.475913269,-0.021313298,-0.95791152,0.236842131,-0.162207662,-0.807860781,0.572244357,-0.141057978,-0.457012998,-0.830995806,0.317151525,-0.884911028,-0.463677532,-0.043995666,-0.926083002,0.264943019,-0.268654927,-0.768968137,0.595255364,-0.233150287,-0.454366223,-0.7935081,0.404840993,-0.848556392,-0.521935782,-0.086804895,-0.926126063,0.205164126,-0.316540987,-0.797946602,0.558249847,-0.227240685,b
-0.49411118,-0.513180017,-0.701783776,0,0,0,0.61064887,0.014929536,0.791760739,0.331388745,0.124289138,0.935271998,0.093277276,0.270047064,0.958318284,0.588753908,-0.17075548,0.790070504,0.600351969,-0.290887153,0.744957836,0.612283545,-0.162896527,0.773675373,0.613193277,-0.026496718,0.789488397,0.513992233,-0.168524865,0.841077496,0.487392896,-0.267664529,0.831146115,0.532474797,-0.145097041,0.833916926,0.564282992,-0.017656427,0.825392607,0.428646133,-0.153673045,0.8903073,0.498326059,-0.012339272,0.866901887,0.578357753,0.489889091,0.652312033,0.530611141,0.70241986,0.474402948,0.341201262,-0.148788454,0.928139911,0.529068527,0.094536452,0.843296717,0.637316591,0.523142456,0.56581758,0.598229724,0.704754508,0.381368955,c
0.082268842,-0.40832895,-0.909120083,0,0,0,-0.019033564,-0.118388346,0.992784933,-0.299663357,-0.039550867,0.953224843,-0.506276757,0.091218857,0.85753307,0.040115206,-0.274964396,0.960617172,-0.005446163,-0.311076828,0.950369163,-0.01412156,-0.247483125,0.968789288,-0.02145882,-0.191812018,0.981197059,-0.049754419,-0.285325553,0.957138353,-0.06543686,-0.270764936,0.96041885,-0.047364451,-0.12965607,0.990427136,-0.040883794,-0.068177752,0.996835147,-0.148894922,-0.283494444,0.947344289,-0.023956788,0.134084322,0.990680305,0.049300923,0.695637309,0.716699486,0.037200195,0.912859864,0.406574733,-0.241707458,-0.289604291,0.926124646,0.010541871,0.153971306,0.988019082,0.150594916,0.636390924,0.756523472,0.155608592,0.857944467,0.489609291,d
0.517849684,-0.193186894,-0.83337301,0,0,0,-0.353881609,-0.345902876,0.868975838,-0.59450448,-0.312063853,0.741067186,-0.781580373,-0.20064293,0.590656021,-0.245000828,-0.446606423,0.860533147,-0.488700933,-0.298930893,0.819641214,-0.501467372,0.461112055,0.732056109,-0.402099948,0.727874846,0.555440222,-0.320938395,-0.474316183,0.81976991,-0.439338185,0.091961406,0.893602293,-0.448362499,0.727332446,0.519575387,-0.415521604,0.869480221,0.267106611,-0.406062572,-0.490991725,0.770740107,-0.424883621,0.125871768,0.896454241,-0.383097213,0.75602867,0.530713835,-0.354404045,0.902310889,0.245423781,-0.479214226,-0.511698638,0.713104642,-0.362758171,0.07942066,0.928492794,-0.335000244,0.729169605,0.596729858,-0.35317661,0.887489862,0.296020314,e
-0.212520048,-0.219610348,-0.952158868,0,0,0,0.236451566,-0.250647256,0.938758015,0.141257904,-0.235600857,0.96152922,-0.035851087,-0.180843269,0.982858287,0.316932203,-0.457778223,0.830658219,0.338831196,-0.07833176,0.937580693,0.18635636,0.306665095,0.933395857,0.058570205,0.543865746,0.837125786,0.229859435,-0.469104345,0.852704963,0.338237671,-0.363895419,0.867856786,0.345429548,-0.239244965,0.907436099,0.344303044,-0.142080223,0.928045594,0.132544512,-0.467427387,0.874038666,0.257724681,-0.439406541,0.860523027,0.279331271,-0.366717556,0.887407615,0.295092989,-0.299786721,0.907219957,0.037487603,-0.47115497,0.881253467,0.132607954,-0.460447287,0.877726282,0.178129634,-0.396713674,0.900493251,0.208088643,-0.348165742,0.914045805,f
-0.939408362,0.287208408,0.187144861,0,0,0,0.825252078,-0.421136008,0.376302365,0.795421657,-0.531728954,0.290806993,0.765405705,-0.610502904,0.203568933,0.782192942,-0.394237377,0.482442838,0.773761238,-0.523346591,0.356934017,0.855353409,-0.478211568,0.19920904,0.855353402,-0.478211664,0.19920884,0.752127825,-0.475521397,0.456270903,0.957118641,-0.289649105,-0.005225181,0.743310478,0.031312005,-0.668213358,0.596855694,0.099516038,-0.79615315,0.718158356,-0.559201178,0.414177037,0.963067065,-0.268580475,-0.019140439,0.746825244,0.102460745,-0.65707979,0.581232566,0.173243946,-0.795081907,0.672790316,-0.635392183,0.378985442,0.955390907,-0.272951411,0.112808433,0.826238903,0.101740306,-0.55405612,0.672884402,0.158819651,-0.722497682,g
-0.891302466,-0.388271511,-0.234147593,0,0,0,0.662105872,0.167485112,0.73045503,0.813388431,-0.003253353,0.581711849,0.922084857,-0.116059091,0.369174489,0.602812548,0.089661097,0.792829061,0.824957575,0.196448357,0.529955699,0.888063818,0.33028868,0.319768733,0.888063829,0.33028871,0.319768672,0.643209384,0.013363944,0.765573702,0.847143918,0.425002447,0.318935891,0.70742338,0.566708058,-0.422367302,0.543926577,0.477387473,-0.690105122,0.688363109,-0.064319321,0.722509,0.839226788,0.469317938,0.274661741,0.625180884,0.646866575,-0.436706419,0.464464808,0.540576566,-0.701462343,0.718460684,-0.144461509,0.680400704,0.798449861,0.488318416,0.352168915,0.619467751,0.69407187,-0.36677506,0.499221034,0.561114595,-0.660249022,h
